gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00515,48,48,0,48,2,0.0
GF_00516,136,136,0,136,4,0.0
GF_00517,41,41,0,41,2,0.0
GF_00518,150,150,1,149,5,0.006666666666666667
GF_00519,100,53,0,100,2,0.0
GF_00520,135,135,0,135,4,0.0
GF_00521,40,40,0,40,2,0.0
GF_00522,98,98,22,76,24,0.22448979591836735
GF_00523,71,71,27,44,20,0.38028169014084506
GF_00524,145,145,89,56,46,0.6137931034482759
GF_00525,56,56,13,43,9,0.23214285714285715
GF_00526,86,82,85,1,30,0.9883720930232558
GF_00527,65,65,14,51,10,0.2153846153846154
GF_00528,56,56,13,43,9,0.23214285714285715
GF_00529,52,52,12,40,12,0.23076923076923078
GF_00530,77,77,11,66,16,0.14285714285714285
GF_00531,203,203,92,111,56,0.45320197044334976
GF_00532,43,43,0,43,3,0.0
GF_00533,53,53,0,53,2,0.0
GF_00534,124,124,0,124,4,0.0
GF_00535,68,68,0,68,3,0.0
GF_00536,136,113,72,64,34,0.5294117647058824
GF_00537,57,57,56,1,15,0.9824561403508771
GF_00538,50,50,40,10,24,0.8
GF_00539,70,70,67,3,19,0.9571428571428572
GF_00540,59,59,58,1,16,0.9830508474576272
GF_00541,56,56,55,1,13,0.9821428571428571
GF_00542,47,47,46,1,10,0.9787234042553191
GF_00543,40,40,39,1,11,0.975
GF_00544,58,58,57,1,14,0.9827586206896551
GF_00545,57,57,56,1,13,0.9824561403508771
GF_00546,60,60,20,40,13,0.3333333333333333
GF_00547,62,62,14,48,20,0.22580645161290322
GF_00548,63,63,13,50,12,0.20634920634920634
GF_00549,44,44,11,33,15,0.25
GF_00550,47,47,2,45,6,0.0425531914893617
GF_00551,50,50,48,2,20,0.96
GF_00552,42,42,42,0,9,1.0
GF_00553,44,44,44,0,9,1.0
GF_00554,63,63,62,1,16,0.9841269841269841
GF_00555,54,54,53,1,13,0.9814814814814815
GF_00556,49,46,49,0,10,1.0
GF_00557,46,46,46,0,10,1.0
GF_00558,65,65,63,2,17,0.9692307692307692
GF_00559,52,52,51,1,12,0.9807692307692307
GF_00560,41,41,41,0,11,1.0
GF_00561,58,58,57,1,15,0.9827586206896551
GF_00562,42,42,42,0,9,1.0
GF_00563,43,43,42,1,12,0.9767441860465116
GF_00564,71,71,53,18,23,0.7464788732394366
GF_00565,129,129,84,45,42,0.6511627906976745
GF_00566,107,107,81,26,44,0.7570093457943925
GF_00567,79,79,75,4,19,0.9493670886075949
GF_00568,49,46,46,3,12,0.9387755102040817
GF_00569,60,56,15,45,11,0.25
GF_00570,71,71,19,52,19,0.2676056338028169
GF_00571,42,42,42,0,10,1.0
GF_00572,68,68,60,8,19,0.8823529411764706
GF_00573,72,72,69,3,20,0.9583333333333334
GF_00574,83,83,73,10,28,0.8795180722891566
GF_00575,63,63,62,1,15,0.9841269841269841
GF_00576,43,43,43,0,12,1.0
GF_00577,51,51,49,2,14,0.9607843137254902
GF_00578,82,82,72,10,27,0.8780487804878049
GF_00579,53,53,52,1,12,0.9811320754716981
GF_00580,70,70,58,12,34,0.8285714285714286
GF_00581,58,58,58,0,16,1.0
GF_00582,71,71,68,3,21,0.9577464788732394
GF_00583,60,60,59,1,16,0.9833333333333333
GF_00584,63,63,61,2,18,0.9682539682539683
GF_00585,58,58,57,1,15,0.9827586206896551
